Variant,Target,Bin,N,Positive,Mean_Predicted_Probability,Observed_Event_Rate,Expected_Events,Absolute_Gap
Original_uncalibrated,1y,1,5103,8,0.0038142335761434452,0.0015677052714089751,19.464033939060002,0.00224652830473447
Original_uncalibrated,1y,2,5102,9,0.010747776908584868,0.0017640141121128968,54.8351577876,0.008983762796471971
Original_uncalibrated,1y,3,5103,15,0.021298973523319616,0.0029394473838918285,108.6886618895,0.018359526139427786
Original_uncalibrated,1y,4,5102,14,0.037453705850450804,0.0027440219521756176,191.088807249,0.03470968389827519
Original_uncalibrated,1y,5,5103,36,0.061842106155006855,0.007054673721340388,315.580267709,0.05478743243366647
Original_uncalibrated,1y,6,5102,92,0.09998353216385732,0.01803214425715406,510.1159811,0.08195138790670325
Original_uncalibrated,1y,7,5102,81,0.16165417674441396,0.015876127009016073,824.75960975,0.14577804973539787
Original_uncalibrated,1y,8,5103,103,0.258939560930825,0.020184205369390553,1321.36857943,0.23875535556143443
Original_uncalibrated,1y,9,5102,211,0.4131262021912975,0.04135633085064681,2107.7698835799997,0.37176987134065065
Original_uncalibrated,1y,10,5103,500,0.7038014338075642,0.09798157946306095,3591.49871672,0.6058198543445033
Platt_calibrated,1y,1,5103,8,0.0011215494209121475,0.0015677052714089751,5.723266694914688,0.00044615585049682764
Platt_calibrated,1y,2,5102,9,0.002374617298928841,0.0017640141121128968,12.115297459134949,0.0006106031868159444
Platt_calibrated,1y,3,5103,15,0.0038649629191955886,0.0029394473838918285,19.72290577665509,0.0009255155353037601
Platt_calibrated,1y,4,5102,14,0.00580169095458423,0.0027440219521756176,29.600227250288743,0.0030576690024086126
Platt_calibrated,1y,5,5103,36,0.008376928475704936,0.007054673721340388,42.747466011522285,0.0013222547543645484
Platt_calibrated,1y,6,5102,92,0.012037155027437586,0.01803214425715406,61.413564949986565,0.0059949892297164725
Platt_calibrated,1y,7,5102,81,0.017630984458516488,0.015876127009016073,89.95328270735112,0.0017548574495004146
Platt_calibrated,1y,8,5103,103,0.026551237590450624,0.020184205369390553,135.49096542406954,0.006367032221060071
Platt_calibrated,1y,9,5102,211,0.042966861242859145,0.04135633085064681,219.21692606106734,0.001610530392212338
Platt_calibrated,1y,10,5103,500,0.11275767490966239,0.09798157946306095,575.4024150640072,0.01477609544660144
Isotonic_sensitivity,1y,1,16980,38,0.00045592248601481475,0.002237926972909305,7.741563812531554,0.0017820044868944902
Isotonic_sensitivity,1y,2,4200,12,0.0035227150050353255,0.002857142857142857,14.795403021148367,0.0006655721478924684
Isotonic_sensitivity,1y,3,4593,35,0.009272199150309636,0.00762029174831265,42.58721069737216,0.0016519074019969862
Isotonic_sensitivity,1y,4,7577,125,0.019657758950664204,0.01649729444371123,148.94683956918269,0.0031604645069529744
Isotonic_sensitivity,1y,5,10611,282,0.034920605793206945,0.026576194515125814,370.5425480717189,0.00834441127808113
Isotonic_sensitivity,1y,6,2634,118,0.03849105762360866,0.044798785117691725,101.38544578058521,0.006307727494083065
Isotonic_sensitivity,1y,7,4430,459,0.10661075142631969,0.1036117381489842,472.28562881859625,0.0029990132773354966
