Variant,Target,Threshold_Probability,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,TP,FP
Original_uncalibrated,1m,0.081,-0.016349517897742673,-0.08162358827254901,0.0,320,14566
Original_uncalibrated,1m,0.082,-0.01649996407845266,-0.08280182747546028,0.0,320,14472
Original_uncalibrated,1m,0.083,-0.016685718695712073,-0.08398263644762544,0.0,319,14392
Original_uncalibrated,1m,0.084,-0.01685954556471374,-0.08516602360531936,0.0,318,14306
Original_uncalibrated,1m,0.085,-0.017022647674091805,-0.08635199740160933,0.0,317,14215
Original_uncalibrated,1m,0.086,-0.017189670014517613,-0.08754056632655638,0.0,317,14139
Original_uncalibrated,1m,0.087,-0.017342919340174196,-0.08873173890741787,0.0,317,14056
Original_uncalibrated,1m,0.088,-0.017485233303097612,-0.08992552370885146,0.0,317,13968
Original_uncalibrated,1m,0.089,-0.017629554133903273,-0.09112192933312022,0.0,317,13883
Original_uncalibrated,1m,0.09,-0.01782153929663768,-0.09232096442029948,0.0,316,13818
Original_uncalibrated,1m,0.091,-0.017997916971775885,-0.09352263764848462,0.0,316,13755
Original_uncalibrated,1m,0.092,-0.01815342340785873,-0.09472695773400058,0.0,316,13681
Original_uncalibrated,1m,0.093,-0.018322158606265435,-0.09593393343161248,0.0,316,13616
Original_uncalibrated,1m,0.094,-0.018465952919530147,-0.09714357353473789,0.0,316,13538
Original_uncalibrated,1m,0.095,-0.01863834909419706,-0.09835588687566026,0.0,315,13468
Original_uncalibrated,1m,0.096,-0.01878069093559842,-0.09957088232574395,0.0,315,13392
Original_uncalibrated,1m,0.097,-0.018925959171393374,-0.10078856879565064,0.0,315,13319
Original_uncalibrated,1m,0.098,-0.019104196611983017,-0.10200895523555713,0.0,314,13256
Original_uncalibrated,1m,0.099,-0.019265320765862452,-0.10323205063537462,0.0,314,13194
Original_uncalibrated,1m,0.1,-0.019443313580917058,-0.10445786402496948,0.0,313,13133
Platt_calibrated,1m,0.001,0.005291490431943682,0.004992915292820301,0.0,332,20036
Platt_calibrated,1m,0.002,0.004936185303161623,0.003995914205939359,0.0,322,15470
Platt_calibrated,1m,0.003,0.004646062628106874,0.0029969131168781143,0.0,313,12996
Platt_calibrated,1m,0.004,0.004310156898458265,0.001995906001533614,0.0,300,11431
Platt_calibrated,1m,0.005,0.004164021355249582,0.0009928868115854066,0.0,297,10253
Platt_calibrated,1m,0.006,0.003950661493728281,-1.2150525626278448e-05,0.0,289,9294
Platt_calibrated,1m,0.007,0.00376546806065583,-0.0010192121072230814,0.0,282,8514
Platt_calibrated,1m,0.008,0.003664955414793446,-0.0020283040549118137,0.0,280,7929
Platt_calibrated,1m,0.009,0.0034938205554427356,-0.003039432515108495,0.0,273,7381
Platt_calibrated,1m,0.01,0.0033446145537338375,-0.004052603659063152,0.0,267,6913
Platt_calibrated,1m,0.011,0.0032368024109964665,-0.005067823682985359,0.0,263,6490
Platt_calibrated,1m,0.012,0.0030518206536519384,-0.006085098808170567,0.0,254,6100
Platt_calibrated,1m,0.013,0.0029009227433910477,-0.007104435281127172,0.0,247,5769
Platt_calibrated,1m,0.014,0.002803566665574799,-0.008125839373704383,0.0,243,5474
Platt_calibrated,1m,0.015,0.002702878638940878,-0.00914931738322083,0.0,239,5231
Platt_calibrated,1m,0.016,0.0026291197909943543,-0.010174875632594026,0.0,236,4982
Platt_calibrated,1m,0.017,0.0025685500019534146,-0.01120252047047052,0.0,234,4775
Platt_calibrated,1m,0.018,0.0024934504345970722,-0.012232258271356943,0.0,231,4583
Platt_calibrated,1m,0.019,0.0023455907873147957,-0.013264095435751803,0.0,224,4426
Platt_calibrated,1m,0.02,0.0023346562128719038,-0.014298038390278083,0.0,224,4232
Platt_calibrated,1m,0.021,0.002284124852323547,-0.01533409358781667,0.0,222,4072
Platt_calibrated,1m,0.022,0.0022229099907560583,-0.016372267507640613,0.0,219,3910
Platt_calibrated,1m,0.023,0.0021908426306057093,-0.017412566655550174,0.0,218,3774
Platt_calibrated,1m,0.024,0.002156797750434363,-0.01845499756400873,0.0,217,3654
Platt_calibrated,1m,0.025,0.0021138449011973235,-0.01949956679227951,0.0,215,3525
Platt_calibrated,1m,0.026,0.0020498004432241953,-0.020546280926563163,0.0,212,3415
Platt_calibrated,1m,0.027,0.0020032323403630973,-0.0215951465801362,0.0,210,3312
Platt_calibrated,1m,0.028,0.0019698665357657233,-0.022646170393490248,0.0,209,3224
Platt_calibrated,1m,0.029,0.0019466342356902204,-0.023699359034472216,0.0,208,3122
Platt_calibrated,1m,0.03,0.0019190870643668863,-0.02475471919842528,0.0,207,3035
Platt_calibrated,1m,0.031,0.0018595527718340335,-0.02581225760833078,0.0,204,2950
Platt_calibrated,1m,0.032,0.0018346625185470962,-0.026871981014950953,0.0,203,2869
Platt_calibrated,1m,0.033,0.0017973713352127886,-0.02793389619697262,0.0,201,2785
Platt_calibrated,1m,0.034,0.0017570528656924661,-0.028998009961151677,0.0,199,2711
Platt_calibrated,1m,0.035,0.001730748542592305,-0.030064329142458573,0.0,198,2646
