Variant,Target,Stage,N,Positive,Negative,Prevalence,AUROC,AUPRC,Brier_Score,ECE
Platt_calibrated,5y,Stage5,3156,49,3107,0.015525982256020279,0.6840577235078131,0.061853423464533534,0.017096208232976765,0.015840008899952657
Isotonic_sensitivity,1m,Stage1,13011,182,12829,0.01398816386134809,0.8825745927624483,0.17922523961995837,0.013300026444288631,0.010420391250009226
Isotonic_sensitivity,1m,Stage2,6382,68,6314,0.01065496709495456,0.8416346028433547,0.08539409219023848,0.010310058817863184,0.004845491420784571
Isotonic_sensitivity,1m,Stage3,12721,39,12682,0.0030657967140948037,0.8834962939599433,0.12219623503098874,0.002886103360418073,0.0022392578489757293
Isotonic_sensitivity,1m,Stage4,8263,25,8238,0.0030255355197870023,0.913799465889779,0.12790641715647572,0.002836856626077648,0.0015975089564447982
Isotonic_sensitivity,1m,Stage5,16061,27,16034,0.0016810908411680468,0.9509988034685553,0.3802035088060573,0.0015069355845965266,0.0009541234419382574
Isotonic_sensitivity,1y,Stage1,11568,451,11117,0.03898686030428769,0.7277475199784912,0.13913496611199438,0.03601588515101192,0.012859792575726506
Isotonic_sensitivity,1y,Stage2,5681,196,5485,0.03450096813941207,0.7997302476140866,0.13262583076547557,0.031923178220397454,0.011678641284750067
Isotonic_sensitivity,1y,Stage3,11117,214,10903,0.019249797607268148,0.8056673932665365,0.14230237077602984,0.017988385582278586,0.00835479285554053
Isotonic_sensitivity,1y,Stage4,7329,105,7224,0.014326647564469915,0.6664788008226546,0.07918221062788262,0.013876808156096758,0.010355823838004947
Isotonic_sensitivity,1y,Stage5,13181,55,13126,0.004172672786586754,0.8904956159184407,0.13073192507123635,0.003955960744612726,0.0020493731365253914
Isotonic_sensitivity,5y,Stage1,6898,529,6369,0.07668889533198028,0.6878009059121138,0.16356186360442138,0.07617660238117294,0.05990030012021452
Isotonic_sensitivity,5y,Stage2,3311,221,3090,0.06674720628209001,0.7510821655024967,0.27565909443478587,0.057440526193074964,0.020498364585006423
Isotonic_sensitivity,5y,Stage3,6000,292,5708,0.048666666666666664,0.7009427407819835,0.17741756132887088,0.04349356980955158,0.02119989060461404
Isotonic_sensitivity,5y,Stage4,3266,106,3160,0.032455603184323334,0.6651659899689515,0.14378685944072378,0.029982300852121793,0.014325687061742759
Isotonic_sensitivity,5y,Stage5,3156,49,3107,0.015525982256020279,0.6905637697628135,0.06350891811484388,0.017475786621590404,0.016386730062466888
