Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method,Stage,Stage_Label,Day_Range,CI_width,Error_Low,Error_High,Low_Event_Flag
All-model common valid,Llama3.1-8B,LLM,1m,24329,848,34,24295,0.57808614699224,0.4799111420147715,0.6364410219493838,0.0401095472842201,Patient-level cluster bootstrap percentile,2000,2000,20263688,0.4886298396883869,0.667542454296093,0.045641811793213,DeLong normal approximation,Stage5,>2y,>730d,0.15652987993461231,0.09817500497746856,0.058354874957143754,True
All-model common valid,Huatuo-O1-7B,LLM,1m,24329,848,34,24295,0.5683219737781922,0.4605695106098524,0.6634190055411063,0.051198852713837,Patient-level cluster bootstrap percentile,2000,2000,20263703,0.4806101349496541,0.6560338126067302,0.0447517605019265,DeLong normal approximation,Stage5,>2y,>730d,0.20284949493125393,0.10775246316833975,0.09509703176291417,True
All-model common valid,XGBoost,ML,1y,17126,1040,704,16422,0.730253588589586,0.6516596350619502,0.7993426301386588,0.0382070731290422,Patient-level cluster bootstrap percentile,2000,2000,20263614,0.7114264334630787,0.7490807437160933,0.009605867901152,DeLong normal approximation,Stage1,0d-1m,0-30d,0.14768299507670857,0.07859395352763576,0.0690890415490728,False
All-model common valid,LSTM,ML,1y,17126,1040,704,16422,0.6608893557422968,0.5506938085383746,0.7619967143856526,0.0535956012061659,Patient-level cluster bootstrap percentile,2000,2000,20263629,0.6368940587973166,0.6848846526872769,0.0122427234042318,DeLong normal approximation,Stage1,0d-1m,0-30d,0.21130290584727807,0.11019554720392222,0.10110735864335585,False
All-model common valid,RSF,ML,1y,17126,1040,704,16422,0.7318103192363902,0.6642655102661861,0.7972995703514332,0.0339954084349846,Patient-level cluster bootstrap percentile,2000,2000,20263644,0.711018291411231,0.7526023470615494,0.010608372393148,DeLong normal approximation,Stage1,0d-1m,0-30d,0.1330340600852471,0.0675448089702041,0.065489251115043,False
All-model common valid,Qwen3-4B SFT,LLM,1y,17126,1040,704,16422,0.7432242968827847,0.6711689117801837,0.8131803619078827,0.0366351955965811,Patient-level cluster bootstrap percentile,2000,2000,20263659,0.7245643138830438,0.7618842798825256,0.009520574432453,DeLong normal approximation,Stage1,0d-1m,0-30d,0.142011450127699,0.07205538510260101,0.06995606502509799,False
All-model common valid,Qwen3-4B baseline,LLM,1y,17126,1040,704,16422,0.5703983915700667,0.5218664493350488,0.6190742785133905,0.0243244005318969,Patient-level cluster bootstrap percentile,2000,2000,20263674,0.54899645712326,0.5918003260168734,0.0109195549589801,DeLong normal approximation,Stage1,0d-1m,0-30d,0.0972078291783417,0.04853194223501789,0.04867588694332381,False
All-model common valid,Llama3.1-8B,LLM,1y,17126,1040,704,16422,0.5120371888874129,0.4836558119865861,0.5369542469877463,0.0135344918522175,Patient-level cluster bootstrap percentile,2000,2000,20263689,0.4909835025637578,0.533090875211068,0.0107418740801993,DeLong normal approximation,Stage1,0d-1m,0-30d,0.053298435001160216,0.028381376900826816,0.0249170581003334,False
All-model common valid,Huatuo-O1-7B,LLM,1y,17126,1040,704,16422,0.4913488246088949,0.4637355402807047,0.5182103905959629,0.0144481622418408,Patient-level cluster bootstrap percentile,2000,2000,20263704,0.4699251726081418,0.512772476609648,0.010930635547255,DeLong normal approximation,Stage1,0d-1m,0-30d,0.05447485031525817,0.027613284328190213,0.02686156598706796,False
All-model common valid,XGBoost,ML,1y,8483,1003,300,8183,0.7978606053199723,0.700529492990546,0.8739342504058426,0.0435844052659994,Patient-level cluster bootstrap percentile,2000,2000,20263615,0.7728561057282305,0.822865104911714,0.0127576321753736,DeLong normal approximation,Stage2,2m-3m,31-90d,0.1734047574152966,0.09733111232942626,0.07607364508587033,False
