Scope,Model_A,Model_B,Target,Metric,N_Nodes,N_Patients,Positive_N,Negative_N,Model_A_Value,Model_B_Value,Delta_A_minus_B,Bootstrap_Mean_Delta,Bootstrap_SD_Delta,CI_95_Low,CI_95_High,P_Value,N_Bootstrap_Requested,N_Bootstrap_Valid,Seed,Q_Value_BH,Significant_FDR_0_05
Overall,RSF,Llama3.1-8B,1m,auroc,88640,1181,557,88083,0.8955450986319803,0.5350085486328577,0.36053654999912255,0.35941602724651384,0.02000337845998473,0.31742716963132567,0.3957512123394933,0.0,10000,10000,20300968,0.0,True
Overall,RSF,Llama3.1-8B,1y,auroc,76684,1069,1640,75044,0.7731070333046888,0.5390782163894743,0.2340288169152145,0.23426718537087698,0.029312113735206053,0.17667890572318623,0.29084191897817185,0.0,10000,10000,20301977,0.0,True
Overall,RSF,Llama3.1-8B,5y,auroc,35079,683,1797,33282,0.7083440217467454,0.518891714275042,0.18945230747170339,0.19076241245490683,0.033859175967139554,0.12583329676655705,0.25782056193138086,0.0,10000,10000,20302986,0.0,True
Overall,RSF,Huatuo-O1-7B,1m,auroc,88640,1181,557,88083,0.8955450986319803,0.5403571435632433,0.355187955068737,0.3543926103553107,0.02360300530906465,0.30565702578347864,0.398776470621386,0.0,10000,10000,20303995,0.0,True
Overall,RSF,Huatuo-O1-7B,1y,auroc,76684,1069,1640,75044,0.7731070333046888,0.5339376102605171,0.23916942304417166,0.23905981611003835,0.03029659272020238,0.17764034072036156,0.29699442519559605,0.0,10000,10000,20305004,0.0,True
Overall,RSF,Huatuo-O1-7B,5y,auroc,35079,683,1797,33282,0.7083440217467454,0.5088228609955826,0.19952116075116277,0.20004390375317263,0.035178365285922365,0.13255527552768706,0.26995955803231425,0.0,10000,10000,20306013,0.0,True
Overall,Qwen3-4B SFT,Qwen3-4B baseline,1m,auroc,88640,1181,557,88083,0.9121447514280384,0.7021636663852485,0.2099810850427899,0.21022840595248107,0.027087022648456322,0.15847607249952825,0.26436019332925603,0.0,10000,10000,20307022,0.0,True
Overall,Qwen3-4B SFT,Qwen3-4B baseline,1y,auroc,76684,1069,1640,75044,0.7766719337663368,0.6440250906460079,0.13264684312032893,0.1339506702354961,0.03808112353999002,0.05906473989630187,0.20871074545039858,0.0006,10000,10000,20308031,0.0009692307692307691,True
Overall,Qwen3-4B SFT,Qwen3-4B baseline,5y,auroc,35079,683,1797,33282,0.712235615803262,0.5707094016605272,0.1415262141427348,0.1429400045634005,0.03986781270628714,0.06298533350173562,0.22059145128715463,0.0002,10000,10000,20309040,0.00034054054054054057,True
Overall,Qwen3-4B SFT,Llama3.1-8B,1m,auroc,88640,1181,557,88083,0.9121447514280384,0.5350085486328577,0.3771362027951807,0.37639096290255303,0.020039199164798994,0.3359322957889462,0.41445373120958934,0.0,10000,10000,20310049,0.0,True
Overall,Qwen3-4B SFT,Llama3.1-8B,1y,auroc,76684,1069,1640,75044,0.7766719337663368,0.5390782163894743,0.23759371737686252,0.23952004222121667,0.03660231634552786,0.1664941290152123,0.309700271575929,0.0,10000,10000,20311058,0.0,True
Overall,Qwen3-4B SFT,Llama3.1-8B,5y,auroc,35079,683,1797,33282,0.712235615803262,0.518891714275042,0.19334390152822,0.1950567252305749,0.04002802665831481,0.11539935658963489,0.272703599623673,0.0,10000,10000,20312067,0.0,True
Overall,Qwen3-4B SFT,Huatuo-O1-7B,1m,auroc,88640,1181,557,88083,0.9121447514280384,0.5403571435632433,0.37178760786479514,0.37187410006739263,0.024997787114997286,0.3222496053501461,0.4204399425443888,0.0,10000,10000,20313076,0.0,True
Overall,Qwen3-4B SFT,Huatuo-O1-7B,1y,auroc,76684,1069,1640,75044,0.7766719337663368,0.5339376102605171,0.2427343235058197,0.2450037476263009,0.037714603054628336,0.1693716142517833,0.3171890417958887,0.0,10000,10000,20314085,0.0,True
Overall,Qwen3-4B SFT,Huatuo-O1-7B,5y,auroc,35079,683,1797,33282,0.712235615803262,0.5088228609955826,0.2034127548076794,0.2056166473667241,0.04059399282298158,0.12471629917317846,0.28297763588888675,0.0,10000,10000,20315094,0.0,True
Overall,Qwen3-4B baseline,Llama3.1-8B,1m,auroc,88640,1181,557,88083,0.7021636663852485,0.5350085486328577,0.16715511775239078,0.16624592407782965,0.024948153426699315,0.11470485725937071,0.21328141044803547,0.0,10000,10000,20316103,0.0,True
Overall,Qwen3-4B baseline,Llama3.1-8B,1y,auroc,76684,1069,1640,75044,0.6440250906460079,0.5390782163894743,0.1049468742565336,0.10438861856787443,0.017372695305594987,0.07011075603900004,0.13813271248517225,0.0,10000,10000,20317112,0.0,True
Overall,Qwen3-4B baseline,Llama3.1-8B,5y,auroc,35079,683,1797,33282,0.5707094016605272,0.518891714275042,0.0518176873854852,0.05189004821262192,0.016462519848499536,0.019232372333528973,0.08384283615249333,0.002,10000,10000,20318121,0.003073170731707317,True
Overall,Qwen3-4B baseline,Huatuo-O1-7B,1m,auroc,88640,1181,557,88083,0.7021636663852485,0.5403571435632433,0.16180652282200525,0.16132195542049363,0.023087348470406548,0.11520921830835257,0.20582882335951094,0.0,10000,10000,20319130,0.0,True
Overall,Qwen3-4B baseline,Huatuo-O1-7B,1y,auroc,76684,1069,1640,75044,0.6440250906460079,0.5339376102605171,0.11008748038549077,0.11006605685901277,0.015018783161606859,0.0807565230539667,0.1401715343093118,0.0,10000,10000,20320139,0.0,True
Overall,Qwen3-4B baseline,Huatuo-O1-7B,5y,auroc,35079,683,1797,33282,0.5707094016605272,0.5088228609955826,0.06188654066494459,0.06177051799213916,0.018533919959534417,0.025024497450455353,0.0974575158597575,0.0018,10000,10000,20321148,0.002835,True
Overall,Llama3.1-8B,Huatuo-O1-7B,1m,auroc,88640,1181,557,88083,0.5350085486328577,0.5403571435632433,-0.005348594930385531,-0.005141528255769401,0.019410572279538702,-0.043854209764440016,0.03264063516435838,0.7898,10000,10000,20322157,0.8578862068965517,False
Overall,Llama3.1-8B,Huatuo-O1-7B,1y,auroc,76684,1069,1640,75044,0.5390782163894743,0.5339376102605171,0.00514060612895717,0.005086741963290684,0.011109064939382443,-0.017169029420299856,0.026772691355474578,0.6376,10000,10000,20323166,0.7047157894736842,False
Overall,Llama3.1-8B,Huatuo-O1-7B,5y,auroc,35079,683,1797,33282,0.518891714275042,0.5088228609955826,0.010068853279459389,0.009921068216611194,0.009703162184274642,-0.009065449587655965,0.029077377644898494,0.3054,10000,10000,20324175,0.3563,False
